CVE, Earliest Recorded Date
CVE-2012-4869, 2012-03-20 00:00:00
CVE-2016-9361, 2015-07-28 00:00:00
CVE-2005-4832, 2005-04-18 00:00:00
CVE-2014-3789, 2014-04-29 00:00:00
CVE-2015-1497, 2014-01-02 00:00:00
CVE-2006-6251, 2009-08-18 00:00:00
CVE-2008-3656, 2008-08-08 00:00:00
CVE-2004-0636, 2004-08-09 00:00:00
CVE-2005-0595, 2003-04-20 00:00:00
CVE-2011-0531, 2011-01-31 00:00:00
CVE-2006-1148, 2006-03-08 00:00:00
CVE-2015-7765, 2015-09-14 00:00:00
CVE-2005-0043, 2005-01-11 00:00:00
CVE-2013-3928, 2013-07-26 00:00:00
CVE-2011-4722, 2011-12-12 00:00:00
CVE-2012-3152, 2014-01-15 00:00:00
CVE-2009-2011, 2009-06-09 00:00:00
CVE-2011-0404, 2011-01-08 00:00:00
CVE-2015-2219, 2015-04-12 00:00:00
CVE-2006-4868, 2006-09-19 00:00:00
CVE-2011-4542, 2011-11-22 00:00:00
CVE-2014-5301, 2014-12-15 00:00:00
CVE-2013-1362, 2013-02-21 00:00:00
CVE-2006-3942, 2006-07-11 00:00:00
CVE-2017-5982, 2017-02-12 00:00:00
CVE-2014-8499, 2014-11-08 00:00:00
CVE-2005-4560, 2005-12-27 00:00:00
CVE-1999-0209, 1994-12-12 00:00:00
CVE-2014-2206, 2014-03-09 00:00:00
CVE-2014-6271, 2014-09-24 00:00:00
CVE-2015-7808, 2015-11-04 00:00:00
CVE-2011-2005, 2011-11-30 00:00:00
CVE-2010-0094, 2010-03-31 00:00:00
CVE-2014-4936, 2014-12-16 00:00:00
CVE-2012-0419, 2017-08-13 14:10:53.277000
CVE-2014-2973, 2014-07-24 00:00:00
CVE-2010-3189, 2010-08-25 00:00:00
CVE-2006-3838, 2006-07-24 00:00:00
CVE-2004-2111, 2004-12-31 00:00:00
CVE-2012-0779, 2012-05-04 00:00:00
CVE-2010-0361, 2010-01-20 00:00:00
CVE-2009-2484, 2009-06-24 00:00:00
CVE-2009-2485, 2009-06-29 00:00:00
CVE-2014-3936, 2014-05-15 00:00:00
CVE-2014-3153, 2014-05-03 00:00:00
CVE-2007-6166, 2007-11-23 00:00:00
CVE-2013-3660, 2013-05-15 00:00:00
CVE-2012-2953, 2012-07-23 00:00:00
CVE-2013-4467, 2013-10-23 00:00:00
CVE-2001-1013, 2017-08-13 14:13:36.635000
CVE-2013-4660, 2013-06-28 00:00:00
CVE-2009-3999, 2011-10-19 00:00:00
CVE-2007-2446, 2007-05-14 00:00:00
CVE-2007-2447, 2007-05-14 00:00:00
CVE-2007-2280, 2009-12-17 00:00:00
CVE-2013-3591, 2013-10-30 00:00:00
CVE-2008-5159, 2008-02-04 00:00:00
CVE-2009-4324, 2009-12-14 00:00:00
CVE-2005-0455, 2005-03-01 00:00:00
CVE-2004-1134, 2004-12-06 00:00:00
CVE-2004-1135, 2004-11-29 00:00:00
CVE-2009-2227, 2009-06-18 00:00:00
CVE-2013-1814, 2017-08-13 14:11:38.442000
CVE-2007-6016, 2008-02-28 00:00:00
CVE-2012-3579, 2012-08-27 00:00:00
CVE-2007-1868, 2007-05-02 00:00:00
CVE-2009-1136, 2009-07-13 00:00:00
CVE-2015-1486, 2015-07-31 00:00:00
CVE-2008-4844, 2008-12-07 00:00:00
CVE-2011-4404, 2011-11-21 00:00:00
CVE-2010-2729, 2010-09-14 00:00:00
CVE-2013-3843, 2013-05-30 00:00:00
CVE-2007-4440, 2007-08-18 00:00:00
CVE-2004-0608, 2004-06-18 00:00:00
CVE-2008-4449, 2008-10-02 00:00:00
CVE-2005-3252, 2005-10-18 00:00:00
CVE-2014-8361, 2015-04-24 00:00:00
CVE-2006-2447, 2006-06-06 00:00:00
CVE-2010-1960, 2010-06-08 00:00:00
CVE-2010-1961, 2010-06-16 00:00:00
CVE-2010-3653, 2010-10-21 00:00:00
CVE-2003-0722, 2003-09-13 00:00:00
CVE-2011-1653, 2011-04-13 00:00:00
CVE-2007-4620, 2008-04-04 00:00:00
CVE-2005-1272, 2005-08-02 00:00:00
CVE-2008-7232, 2008-01-08 00:00:00
CVE-2017-7442, 2017-08-15 03:31:54.196000
CVE-2015-6922, 2015-09-23 00:00:00
CVE-2008-3008, 2008-09-09 00:00:00
CVE-2014-9566, 2015-02-24 00:00:00
CVE-2002-1214, 2002-09-26 00:00:00
CVE-2007-2711, 2007-05-14 00:00:00
CVE-2009-1260, 2009-04-03 00:00:00
CVE-2013-1625, 2017-08-13 14:14:05.714000
CVE-2009-0950, 2009-06-01 00:00:00
CVE-2006-5650, 2006-11-06 00:00:00
CVE-2014-0784, 2014-03-10 00:00:00
CVE-2014-0783, 2014-03-10 00:00:00
CVE-2014-0782, 2014-03-10 00:00:00
CVE-2014-0781, 2014-03-10 00:00:00
CVE-2010-0425, 2010-03-05 00:00:00
CVE-2014-8791, 2014-11-27 00:00:00
CVE-2005-1415, 2005-05-01 00:00:00
CVE-2014-8799, 2017-08-13 14:13:42.014000
CVE-2013-6414, 2013-12-04 00:00:00
CVE-2008-4114, 2017-08-13 14:11:39.808000
CVE-2014-0307, 2014-03-11 00:00:00
CVE-2011-0257, 2011-08-08 00:00:00
CVE-2012-2763, 2012-05-18 00:00:00
CVE-2014-0160, 2014-04-07 00:00:00
CVE-2006-3952, 2006-07-31 00:00:00
CVE-2011-0499, 2011-04-11 00:00:00
CVE-2010-0886, 2010-04-09 00:00:00
CVE-2014-5460, 2014-08-28 00:00:00
CVE-2014-0497, 2014-02-05 00:00:00
CVE-2014-5468, 2014-08-26 00:00:00
CVE-2009-0880, 2009-03-10 00:00:00
CVE-2005-1099, 2005-04-12 00:00:00
CVE-2011-4971, 2017-08-13 14:16:56.855000
CVE-2004-0297, 2004-02-17 00:00:00
CVE-2013-0803, 2012-01-21 00:00:00
CVE-2003-0533, 2004-04-13 00:00:00
CVE-2003-0822, 2003-11-11 00:00:00
CVE-2012-4333, 2012-04-21 00:00:00
CVE-2013-0156, 2013-01-07 00:00:00
CVE-2014-1761, 2014-04-01 00:00:00
CVE-2011-3011, 2011-07-25 00:00:00
CVE-2012-0549, 2012-04-18 00:00:00
CVE-2009-2765, 2009-07-20 00:00:00
CVE-2012-5687, 2017-08-13 14:13:50.694000
CVE-2006-5478, 2006-10-21 00:00:00
CVE-2016-6435, 2016-10-10 00:00:00
CVE-2014-7228, 2014-09-29 00:00:00
CVE-2012-3815, 2012-06-04 00:00:00
CVE-2016-6433, 2016-10-10 00:00:00
CVE-2003-0220, 2003-04-28 00:00:00
CVE-1999-0506, 2017-08-13 14:12:13.747000
CVE-1999-0504, 1999-01-01 00:00:00
CVE-1999-0502, 1999-01-01 00:00:00
CVE-2011-3659, 2011-12-06 00:00:00
CVE-2011-3658, 2011-12-06 00:00:00
CVE-2013-0025, 2013-02-13 00:00:00
CVE-2011-3494, 2011-09-06 00:00:00
CVE-2011-3497, 2011-09-16 00:00:00
CVE-2011-3492, 2011-09-13 00:00:00
CVE-2014-9195, 2015-05-20 00:00:00
CVE-2012-5204, 2017-08-13 14:13:39.079000
CVE-2011-2386, 2011-05-20 00:00:00
CVE-2012-5202, 2017-08-13 14:13:17.586000
CVE-2012-5201, 2013-03-07 00:00:00
CVE-2007-1674, 2007-04-13 00:00:00
CVE-2008-5416, 2008-12-09 00:00:00
CVE-2010-4417, 2010-06-09 00:00:00
CVE-2007-6377, 2007-12-10 00:00:00
CVE-2013-5877, 2014-02-28 00:00:00
CVE-2013-3619, 2013-11-06 00:00:00
CVE-2000-0248, 2000-04-04 00:00:00
CVE-2006-0564, 2006-02-06 00:00:00
CVE-2016-3714, 2016-05-03 00:00:00
CVE-2012-2962, 2012-07-22 00:00:00
CVE-2017-6526, 2017-03-08 00:00:00
CVE-2017-6527, 2017-03-08 00:00:00
CVE-2012-0897, 2012-01-16 00:00:00
CVE-2009-3960, 2017-08-13 14:17:54.122000
CVE-2009-3214, 2009-08-20 00:00:00
CVE-2010-4094, 2017-08-13 14:18:21.307000
CVE-2008-2938, 2009-01-09 00:00:00
CVE-2014-9222, 2014-12-17 00:00:00
CVE-2013-4490, 2013-11-04 00:00:00
CVE-2015-7450, 2015-11-06 00:00:00
CVE-2012-6301, 2012-12-01 00:00:00
CVE-2015-2342, 2013-05-22 00:00:00
CVE-2009-0323, 2009-01-28 00:00:00
CVE-1999-0531, 2017-08-13 14:12:17.788000
CVE-2008-4922, 2008-10-30 00:00:00
CVE-2013-4011, 2013-09-24 00:00:00
CVE-2006-0295, 2006-02-02 00:00:00
CVE-2005-0116, 2005-01-15 00:00:00
CVE-2007-3010, 2007-09-09 00:00:00
CVE-2005-3314, 2005-11-18 00:00:00
CVE-2016-0710, 2016-03-06 00:00:00
CVE-2012-2020, 2012-07-09 00:00:00
CVE-2011-5164, 2011-11-09 00:00:00
CVE-2009-0183, 2009-02-02 00:00:00
CVE-2009-0187, 2009-02-03 00:00:00
CVE-2009-0184, 2009-02-02 00:00:00
CVE-2015-7857, 2015-10-23 00:00:00
CVE-2012-3569, 2012-11-08 00:00:00
CVE-2004-1037, 2004-10-01 00:00:00
CVE-2008-4322, 2008-09-26 00:00:00
CVE-2010-3600, 2011-01-18 00:00:00
CVE-2010-2731, 2010-07-02 00:00:00
CVE-2009-2367, 2017-08-13 14:13:56.443000
CVE-2016-1531, 2016-03-10 00:00:00
CVE-2016-4010, 2016-05-17 00:00:00
CVE-2014-4671, 2014-07-08 00:00:00
CVE-2007-3389, 2007-02-22 00:00:00
CVE-2005-0684, 2005-04-26 00:00:00
CVE-2017-7615, 2017-04-16 00:00:00
CVE-2008-3257, 2008-07-17 00:00:00
CVE-2007-4387, 2007-08-15 00:00:00
CVE-2013-2143, 2014-03-24 00:00:00
CVE-2009-3563, 2009-10-04 00:00:00
CVE-2005-1790, 2005-11-21 00:00:00
CVE-2013-2370, 2013-07-24 00:00:00
CVE-2014-0224, 2014-06-05 00:00:00
CVE-2014-4076, 2014-11-11 00:00:00
CVE-2007-3566, 2007-07-24 00:00:00
CVE-2009-3699, 2009-10-07 00:00:00
CVE-2006-4847, 2006-09-14 00:00:00
CVE-2011-0609, 2011-03-15 00:00:00
CVE-2009-3693, 2009-09-29 00:00:00
CVE-2005-4145, 2005-12-08 00:00:00
CVE-2011-0267, 2011-01-10 00:00:00
CVE-2011-0266, 2011-01-10 00:00:00
CVE-2006-4602, 2006-09-02 00:00:00
CVE-2014-5470, 2014-08-28 00:00:00
CVE-2016-2098, 2016-03-01 00:00:00
CVE-2013-0810, 2013-09-10 00:00:00
CVE-2014-5073, 2014-06-25 00:00:00
CVE-2014-0556, 2014-09-23 00:00:00
CVE-2003-0812, 2003-11-11 00:00:00
CVE-2012-4347, 2012-11-30 00:00:00
CVE-2013-0634, 2013-02-08 00:00:00
CVE-2003-0818, 2004-02-10 00:00:00
CVE-2013-0632, 2013-08-08 00:00:00
CVE-2012-5691, 2012-12-14 00:00:00
CVE-2012-5692, 2012-10-25 00:00:00
CVE-2012-0439, 2013-01-30 00:00:00
CVE-2013-5045, 2013-12-10 00:00:00
CVE-2012-0432, 2012-12-12 00:00:00
CVE-2014-1683, 2014-01-28 00:00:00
CVE-2014-8741, 2014-12-09 00:00:00
CVE-2014-7236, 2014-10-09 00:00:00
CVE-2014-2314, 2014-02-26 00:00:00
CVE-1999-0532, 2017-08-13 14:18:32.157000
CVE-2015-3628, 2015-09-03 00:00:00
CVE-2014-6324, 2014-11-18 00:00:00
CVE-2001-0499, 2001-06-28 00:00:00
CVE-2010-0188, 2010-02-16 00:00:00
CVE-2011-3486, 2011-09-13 00:00:00
CVE-2008-5405, 2008-11-30 00:00:00
CVE-2012-6275, 2013-01-09 00:00:00
CVE-2012-6274, 2013-01-09 00:00:00
CVE-2009-4502, 2009-09-10 00:00:00
CVE-2006-3459, 2006-08-01 00:00:00
CVE-2017-6398, 2017-01-15 00:00:00
CVE-2007-2864, 2007-06-05 00:00:00
CVE-2008-5081, 2008-11-14 00:00:00
CVE-2006-0460, 2006-02-16 00:00:00
CVE-2008-1611, 2008-03-26 00:00:00
CVE-2008-1610, 2008-03-27 00:00:00
CVE-2012-3993, 2013-08-06 00:00:00
CVE-2006-3730, 2006-07-17 00:00:00
CVE-2016-0492, 2016-01-20 00:00:00
CVE-2012-6315, 2013-01-07 00:00:00
CVE-2007-1286, 2007-03-04 00:00:00
CVE-2013-4800, 2013-07-27 00:00:00
CVE-2014-3914, 2013-10-30 00:00:00
CVE-2014-3913, 2014-06-02 00:00:00
CVE-2010-1587, 2017-08-13 14:11:34.356000
CVE-2005-0478, 2005-02-18 00:00:00
CVE-2008-5626, 2008-10-13 00:00:00
CVE-2012-2019, 2012-07-09 00:00:00
CVE-2003-0109, 2003-05-30 00:00:00
CVE-2009-5109, 2009-12-25 00:00:00
CVE-2014-2624, 2014-09-09 00:00:00
CVE-2014-2623, 2014-11-02 00:00:00
CVE-2016-10174, 2016-12-20 00:00:00
CVE-2016-10175, 2016-12-20 00:00:00
CVE-2009-4769, 2009-11-17 00:00:00
CVE-2010-1297, 2010-06-04 00:00:00
CVE-2005-1921, 2005-06-29 00:00:00
CVE-2012-3274, 2012-08-29 00:00:00
CVE-2005-0277, 2005-01-04 00:00:00
CVE-2016-1524, 2016-02-04 00:00:00
CVE-2016-1525, 2016-02-04 00:00:00
CVE-2004-1595, 2004-10-04 00:00:00
CVE-2009-4962, 2010-10-18 00:00:00
CVE-2007-5208, 2007-10-04 00:00:00
CVE-2001-0803, 2002-07-10 00:00:00
CVE-2001-0800, 2001-09-01 00:00:00
CVE-2015-1592, 2015-02-11 00:00:00
CVE-2006-6199, 2009-08-03 00:00:00
CVE-2011-0073, 2011-02-02 00:00:00
CVE-2012-0158, 2012-04-10 00:00:00
CVE-2013-2171, 2013-06-18 00:00:00
CVE-2004-1373, 2004-12-23 00:00:00
CVE-2007-3605, 2007-07-05 00:00:00
CVE-2005-0308, 2005-01-24 00:00:00
CVE-2013-2551, 2013-03-06 00:00:00
CVE-2004-0795, 2004-03-04 00:00:00
CVE-2011-0611, 2011-04-11 00:00:00
CVE-2008-4250, 2008-10-28 00:00:00
CVE-2014-0763, 2014-04-08 00:00:00
CVE-2004-0798, 2004-08-25 00:00:00
CVE-2016-2555, 2016-03-01 00:00:00
CVE-2007-4776, 2007-09-04 00:00:00
CVE-2011-4350, 2011-11-25 00:00:00
CVE-2009-3429, 2009-01-03 00:00:00
CVE-2004-1389, 2004-10-21 00:00:00
CVE-2006-2086, 2006-04-26 00:00:00
CVE-2006-2081, 2006-04-26 00:00:00
CVE-2011-4051, 2011-11-04 00:00:00
CVE-2008-1914, 2008-04-15 00:00:00
CVE-2014-4114, 2014-10-14 00:00:00
CVE-2014-4113, 2014-10-14 00:00:00
CVE-2011-0276, 2011-01-31 00:00:00
CVE-2013-1775, 2013-02-28 00:00:00
CVE-2017-6553, 2017-04-09 00:00:00
CVE-2005-2535, 2005-02-14 00:00:00
CVE-2013-1391, 2017-08-13 14:10:33.569000
CVE-2011-0105, 2011-08-09 00:00:00
CVE-2005-4797, 2017-08-13 14:19:43.044000
CVE-2014-5445, 2014-11-30 00:00:00
CVE-2006-5216, 2006-10-06 00:00:00
CVE-2009-3733, 2017-08-13 14:13:34.823000
CVE-2007-4370, 2008-08-10 00:00:00
CVE-2013-1559, 2013-04-16 00:00:00
CVE-1999-1053, 1999-11-05 00:00:00
CVE-2011-3923, 2011-10-01 00:00:00
CVE-2013-6271, 2013-10-11 00:00:00
CVE-2014-0569, 2014-10-14 00:00:00
CVE-2011-2039, 2011-06-01 00:00:00
CVE-2015-0235, 2015-01-27 00:00:00
CVE-2008-0067, 2009-01-07 00:00:00
CVE-2011-4828, 2011-11-27 00:00:00
CVE-2010-4566, 2010-12-21 00:00:00
CVE-2011-4825, 2011-04-11 00:00:00
CVE-2014-1691, 2013-06-27 00:00:00
CVE-2008-0065, 2008-01-18 00:00:00
CVE-2012-5357, 2012-10-16 00:00:00
CVE-2010-3972, 2010-12-21 00:00:00
CVE-2007-5779, 2007-10-27 00:00:00
CVE-2014-7205, 2016-11-01 00:00:00
CVE-2016-6415, 2016-09-29 00:00:00
CVE-1999-0526, 2017-08-13 14:15:04.957000
CVE-2014-6332, 2014-11-13 00:00:00
CVE-2004-0964, 2004-09-24 00:00:00
CVE-2001-0241, 2001-05-01 00:00:00
CVE-2006-0003, 2006-04-11 00:00:00
CVE-2005-2799, 2005-09-13 00:00:00
CVE-2016-6253, 2016-07-07 00:00:00
CVE-2000-0402, 2000-05-30 00:00:00
CVE-2014-3120, 2013-12-09 00:00:00
CVE-2012-5002, 2012-03-01 00:00:00
CVE-2007-5601, 2007-10-18 00:00:00
CVE-2013-3632, 2013-10-30 00:00:00
CVE-2013-3631, 2013-10-30 00:00:00
CVE-2013-3630, 2013-10-30 00:00:00
CVE-2016-6897, 2017-08-13 14:12:19.447000
CVE-2008-2286, 2008-05-15 00:00:00
CVE-2015-7297, 2015-10-22 00:00:00
CVE-2008-1358, 2008-03-13 00:00:00
CVE-2010-4279, 2010-11-30 00:00:00
CVE-2008-0550, 2008-01-24 00:00:00
CVE-2015-2562, 2015-03-20 00:00:00
CVE-2013-4812, 2013-09-09 00:00:00
CVE-2013-4811, 2013-09-09 00:00:00
CVE-2009-4195, 2009-12-03 00:00:00
CVE-2007-3039, 2007-12-11 00:00:00
CVE-2006-2502, 2006-05-21 00:00:00
CVE-2008-3878, 2008-08-27 00:00:00
CVE-2015-7871, 2017-08-13 14:15:48.269000
CVE-2008-4696, 2008-10-23 00:00:00
CVE-2014-4872, 2014-10-07 00:00:00
CVE-2014-4877, 2014-10-27 00:00:00
CVE-2013-3893, 2013-09-17 00:00:00
CVE-2016-10073, 2017-08-13 14:18:19.641000
CVE-2015-5119, 2015-07-06 00:00:00
CVE-2013-3897, 2013-10-08 00:00:00
CVE-2005-0260, 2004-12-20 00:00:00
CVE-2013-2050, 2013-11-12 00:00:00
CVE-2003-1192, 2003-11-03 00:00:00
CVE-2010-2590, 2010-12-14 00:00:00
CVE-2015-1126, 2015-04-08 00:00:00
CVE-2012-2174, 2012-06-18 00:00:00
CVE-2012-2175, 2012-06-01 00:00:00
CVE-2008-0955, 2008-05-28 00:00:00
CVE-2013-7390, 2013-11-11 00:00:00
CVE-2010-1240, 2010-03-29 00:00:00
CVE-2006-6183, 2006-11-27 00:00:00
CVE-2008-3273, 2017-08-13 14:16:00.701000
CVE-2013-3563, 2013-05-22 00:00:00
CVE-2009-0075, 2009-02-10 00:00:00
CVE-2006-6761, 2006-12-23 00:00:00
CVE-2011-0049, 2011-03-08 00:00:00
CVE-2014-0514, 2014-04-13 00:00:00
CVE-2007-4560, 2007-08-24 00:00:00
CVE-2015-5603, 2015-10-28 00:00:00
CVE-2007-3614, 2007-07-05 00:00:00
CVE-2012-3753, 2012-11-07 00:00:00
CVE-2012-3752, 2012-11-07 00:00:00
CVE-2005-3683, 2005-11-16 00:00:00
CVE-2011-4166, 2011-12-21 00:00:00
CVE-2013-6221, 2014-01-10 00:00:00
CVE-2004-0362, 2004-03-18 00:00:00
CVE-2004-0363, 2004-03-19 00:00:00
CVE-2013-1017, 2013-05-22 00:00:00
CVE-2005-4411, 2005-12-19 00:00:00
CVE-2010-3407, 2010-09-14 00:00:00
CVE-2002-1318, 2003-04-07 00:00:00
CVE-2013-1493, 2013-03-01 00:00:00
CVE-2016-9079, 2016-11-30 00:00:00
CVE-2006-0900, 2017-08-13 14:16:40.009000
CVE-2009-4988, 2009-08-01 00:00:00
CVE-2014-1510, 2014-03-17 00:00:00
CVE-2006-5198, 2007-11-02 00:00:00
CVE-2013-6282, 2013-09-06 00:00:00
CVE-2006-0441, 2006-01-24 00:00:00
CVE-2013-5065, 2013-11-27 00:00:00
CVE-2010-2333, 2017-08-13 14:12:53.525000
CVE-2010-0219, 2010-12-30 00:00:00
CVE-2008-2439, 2017-08-13 14:12:58.153000
CVE-2014-7816, 2014-10-22 00:00:00
CVE-2013-0726, 2013-04-23 00:00:00
CVE-2014-1649, 2014-05-12 00:00:00
CVE-2003-0270, 2017-08-13 14:14:42.486000
CVE-2011-2750, 2017-08-13 14:15:07.185000
CVE-2007-2139, 2007-04-25 00:00:00
CVE-2003-0471, 2003-06-24 00:00:00
CVE-2007-0882, 2007-02-12 00:00:00
CVE-2008-1562, 2008-03-28 00:00:00
CVE-2012-4361, 2011-11-11 00:00:00
CVE-2014-2424, 2014-04-21 00:00:00
CVE-2015-7601, 2015-09-28 00:00:00
CVE-2015-7602, 2015-09-28 00:00:00
CVE-2015-7603, 2015-09-22 00:00:00
CVE-2013-3621, 2013-11-06 00:00:00
CVE-2013-3623, 2013-11-06 00:00:00
CVE-2012-2915, 2012-05-16 00:00:00
CVE-2013-3628, 2013-10-30 00:00:00
CVE-2013-3629, 2013-10-30 00:00:00
CVE-2011-2371, 2011-06-21 00:00:00
CVE-1999-0170, 2017-08-13 14:14:11.692000
CVE-2013-5486, 2013-09-18 00:00:00
CVE-2006-4318, 2006-08-23 00:00:00
CVE-2006-4313, 2006-08-23 00:00:00
CVE-2010-0033, 2010-02-09 00:00:00
CVE-2008-1365, 2007-06-28 00:00:00
CVE-2008-0015, 2009-07-05 00:00:00
CVE-2014-3804, 2014-05-05 00:00:00
CVE-2012-1465, 2012-02-24 00:00:00
CVE-2003-0727, 2003-08-18 00:00:00
CVE-2003-0050, 2003-02-24 00:00:00
CVE-2008-0492, 2008-01-25 00:00:00
CVE-2008-5191, 2014-03-20 00:00:00
CVE-2013-4826, 2017-08-13 14:14:37.969000
CVE-2013-4824, 2013-10-08 00:00:00
CVE-2013-4823, 2017-08-13 14:11:15.207000
CVE-2013-4822, 2013-10-08 00:00:00
CVE-2015-0779, 2015-04-07 00:00:00
CVE-2008-3466, 2008-10-14 00:00:00
CVE-2009-3869, 2009-11-04 00:00:00
CVE-2009-3976, 2009-08-25 00:00:00
